구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
공중화장실,일월,,수원시 권선구 구운동56-1(일월공원),N,2,2,1,1,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,연꽃,,수원시 장안구 송죽동 434,N,1,3,0,0,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,만석공원,수원시 장안구 정조로1087(송죽동),수원시 장안구 송죽동 239-2,N,4,7,1,0,0,1,6,1,1,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,천천3,수원시 장안구 덕영대로 623(정자동),수원시 장안구 정자동 925(정자동),N,2,2,1,0,0,0,2,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,수롱이,수원시 장안구 만석로65(정자동),수원시 장안구 정자동 869-1,N,2,4,1,0,0,0,5,1,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,정자문화,,수원시 장안구 정자동600-30(정자문화공원),N,2,3,1,1,1,0,5,1,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,밤밭,,수원시 장안구 천천동575(밤밭공원),N,2,2,1,1,0,0,5,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,꽃뫼,,수원시 장안구 천천동 520,N,2,2,1,0,0,0,5,1,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,청개구리,수원시 장안구 상률로 37-26(율전동),수원시 장안구 율전동 124-1,N,3,2,1,1,0,0,5,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,쉼터,수원시 장안구 경수대로1283(이목동),수원시 장안구 이목동 563,N,2,3,1,1,1,0,3,1,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,지지대,수원시 장안구 경수대로1283(파장동),수원시 장안구 이목동 563,N,2,3,1,0,0,1,4,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,솟대,,수원시 장안구 천천동 483-6,N,1,2,1,1,0,0,2,1,0,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,율전,수원시 장안구 서부로2142(율전동),수원시 장안구 율전동 281-5,N,2,3,1,0,1,1,3,1,1,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,다슬기,수원시 장안구 광교산로597(상광교동),수원시 장안구 상광교동 38-3,N,3,5,1,1,0,0,6,1,0,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,항아리,수원시 장안구 파장천로144-8(파장동),수원시 장안구 파장동 산109-1,N,2,3,0,0,0,0,3,0,0,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,영화동공영주차장,수원시 장안구 수설로382번길 30(영화동),수원시 장안구 영화동 230-3,N,1,3,1,0,0,0,3,1,0,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,영화동 복합문화공간,수원시 장안구 정조로922번길 13(영화동),수원시 장안구 영화동 276-14,N,2,3,1,1,0,0,5,1,1,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,반딧불이,수원시 장안구 광교산로172(하광교동),수원시 장안구 하광교동 402-1,N,3,7,1,0,0,1,6,1,0,수원시 장안구 생활안전과,031-228-5309,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,전망대,수원시 영통구 광교호수로 127(하동),수원시 영통구 하동 1024공 (호수공원),N,2,1,1,7,0,0,2,1,0,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,행복한들,수원시 영통구 광교호수로 127(하동),수원시 영통구 하동 1026-1공 (호수공원),N,2,4,1,6,0,0,8,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,재미난밭,수원시 영통구 광교호수로 127(하동),수원시 영통구 하동 1024공 (호수공원),N,2,3,1,5,1,1,8,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,나루터,수원시 영통구 광교호수로 127(하동),수원시 영통구 하동 1024(광교호수공원),N,2,3,1,4,0,1,6,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,원천호수,수원시 영통구 광교호수로 127(하동),수원시 영통구 하동 1024(광교호수공원),N,2,4,1,3,0,0,7,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,관리사무소,수원시영통구 광교호수공원로 102 (하동),수원시 영통구 하동 1023공 (호수공원관리사무소),N,3,3,1,2,1,1,8,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,어번레비,수원시 영통구 광교호수로 127(하동),수원시 영통구 하동 1023공 (호수공원),N,2,4,1,1,1,1,8,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,신대호수,수원시 영통구 영통구 광교호수로 127(하동),수원시 영통구 하동 1008(광교호수공원),N,2,2,1,0,0,1,4,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,정다운,수원시 영통구 영통구 광교호수로 127(하동),수원시 영통구 하동 999공 (호수공원),N,2,2,0,0,0,0,4,1,0,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,자작나무쉼터,수원시 영통구 영통구 광교호수로 127(하동),수원시 영통구 하동 998공 (호수공원),N,2,2,1,0,0,1,8,1,1,수원시 공원녹지사업소,031-228-4563,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,미술관옆,수원시 팔달구 신풍로 14(신풍동),수원시 팔달구 신풍동 262-5,N,3,8,1,0,1,0,20,1,1,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,창룡문외성,수원시 팔달구 경수대로 697(지동),수원시 팔달구 지동 261-59,N,4,6,1,1,1,0,7,0,1,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,산아래,,수원시 팔달구 화서동 산1-12,N,2,2,1,0,0,0,3,0,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,팔달문,수원시 팔달구 팔달로3가 103(행궁동),수원시 팔달구 행궁동,N,1,3,0,0,0,0,4,0,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,장안문,수원시 팔달구 정조로905번길8(장안동),수원시 팔달구 장안동 1-5,N,2,2,1,0,0,0,4,1,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,연무대,수원시 팔달구 창룡대로105(매향동),수원시 팔달구 매향동 3-32,N,3,4,1,1,0,1,7,0,1,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,전망좋은,수원시 팔달구 팔달산로 228(남창동),수원시 팔달구 남창동 55-22,N,3,3,1,1,0,1,6,0,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,화성행궁,수원시 팔달구 행궁로 18(남창동),수원시 팔달구 남창동 36-13,N,3,6,1,0,0,0,6,0,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,봉화대,수원시 팔달구 창룡대로104번길158(남수동),수원시 팔달구 남수동 7-3,N,1,3,1,0,0,0,2,1,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,진달래,,수원시 팔달구 고등동42-140,N,3,3,1,0,0,1,4,0,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,화서문,,수원시 장안구 영화동 372-17,N,2,2,1,1,0,0,3,1,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,장안공원,수원시 장안구 팔달로238 (영화동),수원시 장안구 영화동 349-26,N,4,6,1,0,0,0,6,0,0,수원시 화성사업소,031-228-4473,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,해우재,수원시 장안구 장안로 463(이목동),수원시 장안구 이목동 184-6,N,4,2,2,2,3,1,7,2,3,수원시 청소자원과,031-228-2259,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,바람개비,수원시 권선구 매송고색로 594(고색동),수원시 권선구 고색동 904-14,N,2,4,1,0,0,0,3,1,0,수원시 청소자원과,031-228-3255,09:00-21:00,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,달맞이,수원시 장안구 수원천로 391번길 9(영화동),수원시 장안구 영화동 148-8,N,2,5,1,0,0,0,6,0,1,수원시 화성사업소,031-228-4473,09:00-21:00,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,영흥공원,수원시 영통구 삼성로 282번길35(원천동),수원시 영통구 원천동 312,N,2,3,1,0,0,0,4,1,0,수원시 체육진흥과,031-228-3201,09:00-21:00,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,솔대(지방산업단지),수원시 권선구 오목천로152번길 29(고색동),수원시 권선구 고색동 917,N,3,3,1,1,0,0,6,0,0,수원시 체육진흥과,031-228-3201,06:00-22:00,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,광교임시수련원,수원시 장안구 광교산로 349(하광교동),수원시 장안구 하광교동 86-3,N,3,4,1,0,0,0,4,1,0,수원시 체육진흥과,031-228-3201,09:00-18:00,,,,지방자치단체,공공용시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,현충탑공원,수원시 팔달구 동수원로 335(인계동),수원시 팔달구 인계동 1128,N,2,3,1,0,0,0,5,1,0,수원시 사회복지과,031-228-2209,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,팔달문시장 안내센터,수원시 팔달구 팔달문로9(팔달로2가),수원시 팔달구 팔달로2가 48-1,N,5,7,1,1,0,2,10,1,0,수원시 지역경제과,031-228-3151,16시간,,,,지방자치단체,기타,수거식,여자,N,여자화장실,,2020.9.3
개방화장실,이스턴타워,수원시 영통구 대학3로4번길 12(이의동),수원시 영통구 이의동 1257-3,N,2,1,0,0,0,0,3,0,0,이스턴타워,031-215-5857,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,골든스퀘어,수원시 영통구 영통로 195(망포동),수원시 영통구 망포동 322-3,N,4,6,2,0,0,0,6,0,0,골든스퀘어,031-202-9110,18시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,진성프라자,수원시 영통구 태장로 54번길 92(망포동),수원시 영통구 망포동 649-38,N,2,2,1,0,0,0,1,1,0,진성프라자,031-206-3127,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,e타운1빌딩,수원시 영통구 태장로 77(망포동),수원시 영통구 망포동 381-2,N,3,4,0,0,0,0,4,0,0,e타운1빌딩,031-273-8300,15시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,정석그린프라자,수원시 영통구 태장로 73(망포동),수원시 영통구 망포동 378,N,2,3,0,0,0,0,2,0,0,정석그린프라자,031-273-5949,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,세호프라자,수원시 영통구 영통로 100(망포동),수원시 영통구 망포동 532-1,N,2,2,0,0,0,0,1,0,0,세호프라자,,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,소명빌딩,수원시 영통구 덕영대로 1707(영통동),수원시 영통구 영통동 1024-13,N,1,2,0,0,0,0,1,0,0,소명빌딩,,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,동아프라자,수원시 영통구 매영로 345번길 95(영통동),수원시 영통구 영통동 961-4,N,2,2,0,0,0,0,3,0,0,동아프라자,,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,영통역 아이파크,수원시 영통구 반달로35번길 30(영통동),수원시 영통구 영통동 1012-1,N,2,2,0,0,0,0,4,0,0,영통역 아이파크,031-204-7400,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,키라빌딩,수원시 영통구 청명남로 31(영통동),수원시 영통구 영통동 998-8,N,3,3,0,0,0,0,3,0,0,키라빌딩,031-206-4606,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,밀레니엄플라자,수원시 영통구 봉영로 1590(영통동),수원시 영통구 영통동 995-5,N,3,4,0,0,0,0,3,0,0,밀레니엄플라자,031-202-0955,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,트리플렉스,수원시 영통구 매영로 345번길 7(영통동),수원시 영통구 영통동 961-6,N,3,4,0,0,0,0,3,0,0,트리플렉스,031-205-9610,24시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,뉴 월드프라자,수원시 영통구 봉영로 1569(영통동),수원시 영통구 영통동 960-3,N,2,3,0,0,0,0,2,2,0,뉴 월드프라자,031-202-7225,24시간,,,,민간,상업시설,수세식,여자,Y,여자화장실,,2020.9.3
개방화장실,다모아프라자,수원시 영통구 봉영로 1587(영통동),수원시 영통구 영통동 959-4,N,3,4,0,0,0,0,2,0,0,다모아프라자,031-203-8712,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,모던타운,수원시 영통구 봉영로 1605(영통동),수원시 영통구 영통동 959-1,N,2,3,1,0,0,0,2,1,0,모던타운,031-203-8600,24시간,,,,민간,상업시설,수세식,여자,Y,여자화장실,,2020.9.3
개방화장실,드림피아빌딩,수원시 영통구 봉영로 1623(영통동),수원시 영통구 영통동 958-1,N,3,3,1,0,0,0,3,1,0,드림피아빌딩,031-273-7436,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,동수원갈비,수원시 영통구 덕영대로 1487(망포동),수원시 영통구 망포동 26,N,1,2,0,0,0,0,1,0,0,동수원갈비,031-206-2822,15시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,세진셀프세차장영통점,수원시 영통구 권선로 893(신동),수원시 영통구 신동 537-1,N,1,1,0,0,0,0,1,0,0,세진셀프세차장영통점,031-202-7766,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,광교힐스테이트레이크 상가,수원시 영통구 센트럴파크로 33(하동),수원시 영통구 하동 1014,N,2,2,1,0,0,0,3,1,0,광교힐스테이트레이크 상가,031-215-5857,24시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,월드스퀘어,수원시 영통구 센트럴타운로 107(이의동),수원시 영통구 이의동 1331,N,2,3,1,0,0,0,5,1,0,월드스퀘어,031-212-6611,24시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,광교서희스타힐스,수원시 영통구 센트럴타운로 111(이의동),수원시 영통구 이의동 1330,N,2,3,0,0,0,0,3,1,0,광교서희스타힐스,,24시간,,,,민간,상업시설,수세식,없음,Y,여자화장실,,2020.9.3
개방화장실,광교에일린의뜰단지내상가,수원시 영통구 광교호수공원로 155(원천동),수원시 영통구 원천동 590,N,2,2,0,0,0,0,3,0,0,광교에일린의뜰단지내상가,070-4158-5959,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,호반프라자,수원시 영통구 월드컵로 87번길 7(원천동),수원시 영통구 원천동 607-1,N,1,2,0,0,0,0,1,0,0,호반프라자,,24시간,,,,민간,상업시설,수세식,없음,N,여자화장실,,2020.9.3
개방화장실,월드종합카,수원시 영통구 매영로 161(원천동),수원시 영통구 원천동 494,N,1,2,0,0,0,0,1,0,0,월드종합카,031-204-4151,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,삼성테크노파크,수원시 영통구 중부대로 448번길 97(원천동),수원시 영통구 원천동 471,N,3,3,0,0,0,0,2,0,0,삼성테크노파크,031-213-0091,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,쌍용자동차수원영업소,수원시 영통구 신원로 312(원천동),수원시 영통구 원천동 340-2,N,2,3,0,0,0,0,2,0,0,쌍용자동차수원영업소,,15시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,봉평우리막국수,수원시 영통구 월드컵로 151번길 12(원천동),수원시 영통구 원천동 67-14,N,1,1,0,0,0,0,1,0,0,봉평우리막국수,031-216-3399,24시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,캠퍼스프라자,수원시 영통구 월드컵로 199(원천동),수원시 영통구 원천동 13-4,N,3,3,0,0,0,0,3,0,0,캠퍼스프라자,031-219-2987,14시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,성일아파트 상가,수원시 영통구 인계로 239(매탄동),수원시 영통구 매탄동 810-4,N,2,3,0,0,0,0,3,0,0,성일아파트 상가,,24시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,삼성1차종합상가,수원시 영통구 인계로 219(매탄동),수원시 영통구 매탄동 810-3,N,1,2,0,0,0,0,2,0,0,삼성1차종합상가,031-213-7838,18시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,밀레니엄프라자,수원시 영통구 효원로 393(매탄동),수원시 영통구 매탄동 1267-5,N,2,3,0,0,0,0,2,0,0,밀레니엄프라자,031-212-8425,24시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,삼호종합상가,수원시 영통구 매탄로 151(매탄동),수원시 영통구 매탄동 883,N,3,3,0,0,0,0,3,0,0,삼호종합상가,031-215-7827,14시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,현대홈타운(제2상가)(구 매탄시장),수원시 영통구 권광로 260번길 36(매탄동),수원시 영통구 매탄동 176,N,1,2,0,0,0,0,1,1,0,현대홈타운(제2상가)(구 매탄시장),031-211-3936,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,경기도 새마을회,수원시 팔달구 효원로 295(인계동),수원시 팔달구 인계동 1122-12,N,1,2,1,0,0,0,1,1,0,경기도 새마을회,031-225-4941,15시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,풍성프라자,수원시 팔달구 덕영대로 693(화서동),수원시 팔달구 화서동 644-1,N,0,2,1,0,0,0,0,1,0,풍성프라자,,24시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,서호체육센터,수원시 팔달구 수성로 120(화서동),수원시 팔달구 화서동 410-6,N,3,3,0,0,0,0,5,0,0,서호체육센터,031-278-7621,16시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,화서프라자,수원시 팔달구 동말로 84(화서동),수원시 팔달구 화서동 71-53,N,1,1,0,0,0,0,1,0,0,화서프라자,031-222-9610,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,지동시장,수원시 팔달구 팔달문로 19(지동),수원시 팔달구 지동 402-2,N,4,4,1,0,0,0,5,0,0,지동시장,031-256-0202,14시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,동수원빌딩,수원시 팔달구 경수대로 549(인계동),수원시 팔달구 인계동 955-1,N,3,3,0,0,0,0,3,0,0,동수원빌딩,031-235-6689,24시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,대원 콤비프라자,수원시 팔달구 효원로 288(인계동),수원시 팔달구 인계동 1125,N,3,3,0,0,0,0,3,0,0,대원 콤비프라자,031-238-4233,16시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,백성병원,수원시 팔달구 인계로 102(인계동),수원시 팔달구 인계동 1019-2,N,2,2,0,0,0,0,2,0,0,백성병원,031-238-9121,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,송림빌딩,수원시 팔달구 중부대로 177(우만동),수원시 팔달구 우만동 146,N,2,1,1,0,0,0,2,1,0,송림빌딩,031-216-1316,24시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,뉴신아빌딩,수원시 팔달구 중부대로 145(우만동),수원시 팔달구 우만동 436,N,2,2,0,0,0,0,2,0,0,뉴신아빌딩,031-211-1211,16시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,수운빌딩,수원시 팔달구 정조로 777(팔달로3가),수원시 팔달구 팔달로3가 101-2,N,1,1,0,0,0,0,1,0,0,수운빌딩,031-245-2289,13시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,영동시장,수원시 팔달구 수원천로 255번길 6(영동),수원시 팔달구 영동 8,N,5,8,0,0,0,0,5,0,0,영동시장,031-251-0171,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,시민상가,수원시 팔달구 팔달문로4번길 19(영동),수원시 팔달구 영동 10-18,N,2,2,0,0,0,0,4,0,0,시민상가,,12시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,터미널타워빌딩,수원시 팔달구 갓매산로 91(매산로1가),수원시 팔달구 매산로1가 115,N,1,2,0,0,0,0,2,0,0,터미널타워빌딩,031-257-3908,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,다성 프라자,수원시 팔달구 갓매산로 38(매산로2가),수원시 팔달구 매산로2가 63-4,N,1,1,0,0,0,0,2,0,0,다성 프라자,031-256-6234,16시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,비전포에버,수원시 팔달구 덕영대로 923-10(매산로1가),수원시 팔달구 매산로1가 57-105,N,2,2,0,0,0,0,2,0,0,비전포에버,031-271-1470,15시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,세창빌딩,수원시 장안구 천천로 233(이목동),수원시 장안구 이목동 403-11,N,3,1,2,0,0,0,2,0,0,세창빌딩,,14시간,,,,민간,상업시설,수세식,없음,Y,없음,,2020.9.3
개방화장실,파크프라자,수원시 장안구 대평로 128(정자동),수원시 장안구 정자동 266-3,N,3,3,0,0,0,0,3,0,0,파크프라자,031-256-2742,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,광장프라자,수원시 장안구만석로19번길 25-6(천천동),수원시 장안구 천천동 527-4,N,2,2,0,0,0,0,2,0,0,광장프라자,031-269-8791,15시간,,,,민간,상업시설,수세식,없음,N,없음,,2020.9.3
개방화장실,㈜서진홀딩스,수원시 장안구 경수대로1073번길 16(파장동),수원시 장안구 파장동 577-2,N,1,3,0,0,0,0,2,0,0,㈜서진홀딩스,031-254-1094,12시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,메가타워,수원시 장안구 금당로10번길 63(조원동),수원시 장안구 조원동 731-15,N,1,1,1,0,0,0,1,1,0,메가타워,,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,신일아파트상가,수원시 장안구 화산로 263(율전동),수원시 장안구 율전동 319,N,2,2,0,0,0,0,2,0,0,신일아파트상가,031-219-8999,15시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,근로자 종합복지관,수원시 장안구 덕영대로 559(천천동),수원시 장안구 천천동 522,N,2,3,0,0,0,0,4,0,0,근로자 종합복지관,031-252-5996,17시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,메가플러스,수원시 장안구 송원로 81(조원동),수원시 장안구 조원동 898-1,N,3,4,0,0,0,0,3,0,0,메가플러스,031-241-4154,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,창경빌딩,수원시 장안구 경수대로 862(조원동),수원시 장안구 조원동 763-21,N,2,2,0,0,0,0,2,0,0,창경빌딩,031-241-4028,18시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,조원빌딩,수원시 장안구 송원로 113(조원동),수원시 장안구 조원동 288-7,N,3,5,0,0,0,0,5,0,0,조원빌딩,,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,정연메이져,수원시 장안구 대평로 80(정자동),수원시 장안구 정자동 877-4,N,3,4,0,0,0,0,4,0,0,정연메이져,031-246-8523,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,화이트쇼핑몰,수원시 장안구 대평로 86(정자동),수원시 장안구 정자동 877-1,N,2,2,0,0,0,0,2,0,0,화이트쇼핑몰,031-268-5830,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
개방화장실,선일프라자1차빌딩,수원시 장안구 대평로 90번길 46(정자동),수원시 장안구 정자동 874-1,N,2,2,0,0,0,0,2,0,0,선일프라자1차빌딩,031-269-0224,24시간,,,,민간,상업시설,수세식,여자,N,없음,,2020.9.3
개방화장실,라이프 센터,수원시 장안구 대평로 90번길 19(정자동),수원시 장안구 정자동 872-2,N,3,5,0,0,0,0,4,0,0,라이프 센터,031-240-0088,24시간,,,,민간,상업시설,수세식,여자,Y,없음,,2020.9.3
